Price,Location,Property Type,Area,Posted Date
"₹2.22 Cr₹8,100 per sqft",N/A,Super Area2750 sqftUnder ConstructionPoss. by Jun '29TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom3Balcony2,N/A,N/A
"₹1.84 Cr₹3,333 per sqft",N/A,Plot Area614 sqyrdTransactionNew Property,N/A,N/A
"₹2.06 Cr₹8,430 per sqft",N/A,Carpet Area2009 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹1.83 Cr₹7,199 per sqft",N/A,Super Area2555 sqftUnder ConstructionPoss. by Aug '30TransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony2,N/A,N/A
"₹1.56 Cr₹5,499 per sqft",N/A,Super Area2842 sqftUnder ConstructionPoss. by Mar '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹42.3 Lac₹1,667 per sqft",N/A,Plot Area282 sqyrdUnder ConstructionPoss. by Jul '25TransactionNew Property,N/A,N/A
"₹48.8 Lac₹2,444 per sqft",N/A,Plot Area222 sqyrdTransactionNew Property,N/A,N/A
"₹5 Cr₹9,987 per sqft",N/A,Super Area5015 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom5Balcony4,N/A,N/A
"₹1.58 Cr₹7,699 per sqft",N/A,Super Area2060 sqftUnder ConstructionPoss. by Sep '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony3,N/A,N/A
"₹68 Lac₹2,444 per sqft",N/A,Plot Area309 sqyrdTransactionNew Property,N/A,N/A
"₹1.50 Cr₹2,778 per sqft",N/A,Plot Area600 sqyrdTransactionNew Property,N/A,N/A
"₹1.50 Cr₹6,476 per sqft",N/A,Super Area2330 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹1.26 Cr₹8,001 per sqft",N/A,Super Area1577 sqftUnder ConstructionPoss. by Aug '26TransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony2,N/A,N/A
"₹67.9 Lac₹4,600 per sqft",N/A,Super Area1475 sqftUnder ConstructionPoss. by Jul '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹1.59 Cr₹6,990 per sqft",N/A,Super Area2284 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom3Balcony1,N/A,N/A
"₹82 Lac₹7,700 per sqft",N/A,Super Area1065 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony1,N/A,N/A
"₹3.88 Cr₹13,755 per sqft",N/A,Super Area2825 sqftUnder ConstructionPoss. by Oct '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹2.90 Cr₹11,400 per sqft",N/A,Super Area2547 sqftUnder ConstructionPoss. by Dec '30TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2,N/A,N/A
"₹2.76 Cr₹7,099 per sqft",N/A,Super Area3900 sqftUnder ConstructionPoss. by Apr '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom4Balcony1,N/A,N/A
"₹30 Lac₹1,111 per sqft",N/A,Plot Area300 sqyrdUnder ConstructionPoss. by Jun '25TransactionNew Property,N/A,N/A
"₹2.12 Cr₹7,611 per sqft",N/A,Super Area2790 sqftUnder ConstructionPoss. by Sep '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹51.5 Lac₹1,667 per sqft",N/A,Plot Area343 sqyrdUnder ConstructionPoss. by Sep '30TransactionNew Property,N/A,N/A
"₹84 Lac₹2,333 per sqft",N/A,Plot Area400 sqyrdTransactionNew Property,N/A,N/A
"₹2 Cr₹7,900 per sqft",N/A,Super Area2537 sqftUnder ConstructionPoss. by Oct '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹1.25 Cr₹3,472 per sqft",N/A,Plot Area400 sqyrdUnder ConstructionPoss. by Jul '28TransactionNew Property,N/A,N/A
"₹22.8 Lac₹1,656 per sqft",N/A,Plot Area1377 sqftTransactionNew Property,N/A,N/A
"₹1.21 Cr₹6,999 per sqft",N/A,Super Area1730 sqftUnder ConstructionPoss. by Aug '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹1.28 Cr₹8,699 per sqft",N/A,Super Area1475 sqftUnder ConstructionPoss. by Aug '27TransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
